Filipino,English
kuwento,story
nakita,seen
malayo,Far away
dagat,sea
gumuhit,Draw
ang natitira,the rest
tumakbo,run
hindi,No.
habang,while
pindutin ang,push the
malapit,closely
gabi,night
tunay,True
buhay,alive
ilan,some
hilaga,North
aklat,book
Nagtitinda,Seller
kinuha,taken
agham,Science
kumain,Eat
kaibigan,Friends
Sinimulan ni,Started by
isda,Fish
bundok,Mountain
itigil,Stop
sabay-sabay,simultaneously
pakinggan,Listen
kabayo,Horse
hiwa,cut
sigurado,sure
panoorin,Watch
kulay,Color
mukha,face
wood,Wood
pangunahin,mainly
bukas,Tomorrow
mukhang,It looks like
magkasama,together
susunod,Next
puting,white
mga bata,children
simulan,Start
Nakakuha,Got
lumakad,walk
halimbawa,For example
luwag,Come on
papel,paper
pangkat,group
palagi,always
musika,Music
iyon,That is
kapwa,both
mark,Mark
madalas,often
sulat,letter
hanggang sa,until
milya,miles
ilog,River
kotse,car
paa,feet
pag-aalaga,Care
pangalawa,Second
sapat,Enough
batang babae,girl
karaniwan,Usually
batang,Batang
handa,ready
sa itaas,on top
kailanman,ever
pula,Red
listahan,List
bagaman,though
pakiramdam,feeling
talk,Talk
ibon,Birds
sa lalong madaling panahon,as soon as possible
katawan,Body
aso,Dog
pamilya,Family
direct,Direct
imungkahi,Suggest
mag-iwan,leave
kanta,song
sukatin,measure
pinto,Pinto
produkto,Product
itim,Black
maikling,short
klase,class
hangin,wind
tanong,Question
mangyari,happen
kumpleto na ang,complete is
barko,ship
lugar,place
kalahati,half
pagkakasunud-sunod,order
sunog,Fire
timog,South
problema,Problem
piraso,piece
sinabi,said
alam,Know
pumasa,Pass
mula noong,ever since
tuktok,Top
kabuuan,altogether
kalye,street
paramihin,Play
walang anuman,You're welcome
Siyempre,Of course
manatili,Stay
gulong,tires
ganap,completely
puwersa,force
asul,blue
bagay,thing
magpasiya,Decide
pang-ibabaw,top
malalim,Deep
gumala,Relieve
isla,island
paa,feet
sistema,system
maraming ginagawa,occupied
pagsubok,Test
talaan,Table
bangka,Boat
karaniwan,Usually
ginto,gold
posible,It is possible
eroplano,plane
patawanin,Payawanin
libo,thousand
nakaraan,past
Pinatatakbo ng,Run by
suriin,Check
laro,game
hugis,shape
Tutumbas,Match
mainit,hot
tamaan,Turn
nagdala,Bring
init,heat
gulong,tires
dalhin,Take
yes,Yes
malayo,Far away
punuin,Fill
silangan,East
pintahan,Paint
wika,Language
kasama ng,with
yunit,unit
kapangyarihan,power
bayan,country
mainam,Magnut
tiyak,Certainly
lumipad,fly
mahulog,fall
pangunahan,Lead
sigaw,shout
dark,Dark
makina,machine
tala,note
maghintay,Wait
plano,Plan
pigura,Figure
star,Star
kahon,Box
pangngalan,noun
patlang,Field
pahinga,Rest
tama,Right
magagawa,Can be done
pound,pound
tapos,Done
beauty,Beauty
biyahe,drive
nakatayo,standing
may,May
front,Front
magturo,teach
linggo,Sunday
panghuling,Finally
ibinigay,provided
berde,green
oh,Oh
mabilis,fast
bumuo,develop
karagatan,Ocean
mainit-init,warm
libre,Free
minutong,minute
malakas,strong
espesyal na,special
isip,mind
sa likod ng,at the back of
malinaw,Obviously
buntot,tail
gumawa,make
katunayan,Proof
puwang,space
narinig,heard
pinakamahusay,best
oras,Time
mas mabuti,better
totoo,True
sa panahon ng,During
daang,Hundred
lima,Lima
tandaan,Remember
hakbang,Step
maagang,Early
matagalan,Matagang
kanluran,West
lupa,land
interes,interest
maabot,reach
mabilis,fast
pandiwa,verbs
kantahin,Sing
makinig,Listen
anim,six
talahanayan,table
paglalakbay,Travel
mas,MAS
umaga,morning
sampu,Ten
simple,Simple
ilang,Some
patinig,vowel
patungo,toward
digmaan,War
mag-ipon,Set up
laban,Again
pattern,Pattern
mabagal,Slow down
center,Center
pag-ibig,Love
tao,person
pera,money
maghatid,Deliver
lumitaw,appeared
kalsada,road
mapa,Map
ulan,Rain
panuntunan,Rule
namamahala sa,manages to
hilahin,Pull
malamig,It's cold
notice,notice
boses,voice
enerhiya,energy
Hunt,Hunt
malamang,Probably
kama,bed
kapatid na lalaki,brother
itlog,egg
pagsakay,Riding
cell,cell
maniwala,Believe
marahil,Probably
pumili,Choose
walang anu-ano,Nothing
bilangin,Count
parisukat,square
dahilan,Reason
haba,length
katawanin,Body
sining,art
paksa,Topic
rehiyon,region
laki,Size
mag-iba,change
tumira,stay
magsalita,Speak
timbang,weight
pangkalahatan,Generally
yelo,ice
bagay,thing
lupon,Board
pares,pair
isama,Include
hatiin,Divide
pantig,syllable
pyeltro,Pyeltro
malaki at maganda,Big and beautiful
ball,Ball
pa,Pa
alon,waves
drop,drop
puso,heart
am,Am
kasalukuyan,present
mabigat,Heavy
sayaw,Dance
engine,engine
posisyon,position
braso,arm
malawak,Extensive
layag,sailay
materyal,material
maliit na bahagi,Small part
gubat,forest
umupo,sit down
lahi,Race
window,window
tindahan,store
tag-araw,summer
tren,train
tulog,Sleep
patunayan,Verify
kaisa-isa,alone
binti,legs
pagsasanay,Training
pader,wall
catch,Catch
may kabit,There is a fixture
nais,want
langit,Heaven
board,board
kagalakan,joy
taglamig,winter
Sab,Sat.
nakasulat,written
ligaw,wild
instrumento,instrument
pinananatiling,kept
salamin,Glass
damo,grass
baka,cow
trabaho,work
gilid,side
lagdaan,Sign
pagbisita,Visiting
nakalipas,past
malambot,soft
magsaya,Have fun
maliwanag,Bright
gas,gas
lagay ng panahon,weather
buwan,Moon
milyon,MILLION
madala,Madala
tapusin,Finish
masaya,It's fun
Umaasa,Hope
bulaklak,Flowers
damitan,Damn
kakaiba,Strange
nawala,lost
kalakalan,Trade
Melody,Melody
paglalakbay,Travel
opisina,office
tumanggap,receive
hilera,row
bibig,mouth
eksaktong,Exactly
simbolo,Symbol
mamatay,die
hindi bababa sa,at least
pag-,the apology
sigaw,shout
maliban sa,except
Isinulat ni,Written by
buto,bone
tono,tone
sumali,Join
iminumungkahi,suggest
malinis,clean
bakasyon,vacation
ginang ng bansa,Madam country
bakuran,yard
tumaas,rise
masama,bad
pumutok,Break
langis,oil
dugo,Blood
kalabitin,Crazy
lumago,Grow
sentimo,cent
paghaluin,Mix
koponan,team
wire,wire
gastos,cost
nawala,lost
kayumanggi,brown
magsuot,wear
hardin,Garden
kapantay,Paid
ipinadala,sent
piliin,Select
patumbahin,Top
umangkop,adapt
dumaloy,Dumalay
makatarungan,It's fair
bangko,Bank
mangolekta,Collect
i-save ang,Save
kontrol,control
decimal,Decimal
tainga,ear
iba pa,others
medyo,pretty
sinira,broke
kaso,Case
gitna,middle
pumatay,kill
anak,Child
dagat-dagatan,Sea-Dagatan
sandali,Wait a moment
iskala,scale
malakas,strong
tagsibol,spring
obserbahan,Observe
anak,Child
tuwid,straight
katinig,Consciousness
bansa,country
diksyunaryo,Dictionary
gatas,milk
bilis,Speed
pamamaraan,Procedure
organ,organ
bayaran,pay
edad,age
seksyon,section
damit,clothing
cloud,Cloud
sorpresa,surprise
tahimik,Quiet
bato,Bato
maliit na maliit,Small
umakyat,climb up
malamig,It's cold
disenyo,Design
mahirap,It's hard
marami,Many
eksperimento,Experiment
ilalim,bottom
key,key
bakal,iron
single,Single
stick,Stick
flat,flat
dalawampu’t,Twenty
balat,skin
ngiti,Smile
crease,Crease
butas,holes
tumalon,Jump
sanggol,baby
walo,Eight
nayon,village
matugunan,meet
ugat,root
bumili,buy
taasan,Wait
malutas,solve
metal,metal
kung,If
push,Push
pito,Seven
talata,paragraph
ikatlong,Third
tiyak,Certainly
pinigilang,Pinagilang
buhok,hair
ilarawan,describe
tagaluto,cook
palapag,floor
alinman sa,either
resulta,result
sumunog,burn
burol,hill
ligtas,safe
pusa,cat
siglo,century
isaalang-alang,Consider
uri ng,type of
batas,law
bit,Bit
baybayin,Coast
kopya,Copy
parirala,Phrase
walang sinasabi,Nothing says
matangkad,tall
ng buhangin,of the sand
lupa,land
roll,Roll
temperatura,temperature
daliri,fingers
industriya,Industry
halaga,value
lumaban,Resist
kasinungalingan,lie
matalo,beat
gumising,Wake up
natural,Natural
pagtingin,Viewing
pakiramdam,feeling
kapital,capital
hindi maaari,can not
silya,chair
panganib,risk
prutas,fruit
mayaman,Rich
makapal,Thick
kawal,soldier
proseso,Process
magpatakbo,Run
kasanayan,skill
hiwalay,separately
mahirap,It's hard
manggagamot,physician
mangyaring,please
ipagtanggol,Defend
tanghali,Noon
crop,crop
modernong,Modern
elemento,Elements
pindutin ang,push the
mag-aaral,student
sulok,corner
partido,party
panustos,supply
kung saan ang,where the
hanapin,Look
singsing,ring
katangian,characteristic
insekto,insect
nahuli,caught
panahon,Time
ipahiwatig,Indicate
radyo,Radio
nagsalita,spoke
atom,Atom
pantao,Human
kasaysayan,History
epekto,effect
de-kuryenteng,electric
inaasahan,Looking forward
buto,bone
rail,Rail
isipin,Imagine
magbigay,give
Sumasang-ayon,Agree
kaya,So
magiliw,Gentle
babae,Woman
kapitan,Captain
hulaan,Guess
kinakailangan,Required
matalim,sharp
wing,wing
lumikha,create
kapit-bahay,Neighborhood
wash,Wash
bat,Bat
sa lalong maliwanag,So bright
karamihan ng tao,most people
mais,corn
ihambing,Compare
tula,Poetry
string,string
kampanilya,bell
depende,depends
karne,meat
kuskusin,Rub
tube,TUBE
sikat,Famous
dollar,dollar
stream,stream
takot,Fear
paningin,sight
manipis,thin
tatsulok,triangular
planeta,Planet
magmadali,Hurry up
mahalaga sa lahat,It is important to everyone
kolonya,Colony
orasan,clock
minahan,mine
itali,ITALI
magpasok,Enter
pangunahing,primary
sariwa,fresh
paghahanap,Search
magpadala ng,Send of
dilaw,Yellow
gun,Gun
pumayag,consent
naka-print,printed
patay,Dead
spot,spot
disyerto,Desert
suit,Suit
kasalukuyan,present
pag-angat,lift
tumaas,rise
dumating,come
master,Master
track,track
magulang,Parents
baybayin,Coast
dibisyon,Division
sheet,sheet
bagay,thing
paboran,favor
ikonekta,Connect
post,Post
gumastos,spend
chord,chord
taba,fat
natutuwa,Glad
orihinal,Original
magbahagi,Share
ama,Father
tinapay,bread
sumingil,Sumillas
mga pangngalang,Names
bar,Bar
alok,offer
segment,segment
alipin,slave
pato,PATO
merkado,market
digri,Digri
mapuno,Map filled
mahal,expensive
kaaway,enemy
sumagot,Reply
inumin,Drink
maganap,take place
suporta,Support
na salita,That word
likas na katangian,nature
hanay,set
steam,Steam
galaw,move
landas,Path
likido,liquid
mag-log,log
nakalaan lamang ito,It is only reserved
ngipin,teeth
shell,Shell
leeg,neck
asukal,sugar
kamatayan,death
medyo,pretty
kasanayan,skill
kababaihan,women
solusyon,Solution
magneto,Magneto
pilak,silver
pasasalamat,Thanksgiving
sangay,Branch
pagtutugma,matching
lalo na,especially
takot,Fear
malaking,big
kapatid na babae,sister
asero,steel
talakayin,Discuss
pasulong,forward
katulad,similar
patnubayan,Guide
karanasan,experience
iskor,Score
mansanas,apple
bumili,buy
humantong,lead
amerikana,coat
masa,mass
kard,Card
ng lubid,of the rope
isuot na madali,Wear easy
panalo,Win
mangarap,Dream
gabi,night
kalagayan,condition
kasangkapan,tools
kabuuan,altogether
pangunahing,primary
amoy,It smells
lambak,The valley
at hindi rin,And not either
upuan,Seat
magpatuloy,Continue
tsart,chart
sumbrero,hat
ibenta,Sell
tagumpay,success
kompanya,company
ibawas,deduct
kaganapan,event
partikular na,Particular
lumangoy,swim
taning,taning
sa tapat ng,in front of
asawa,wife
sapatos,shoes
balikat,shoulders
pagkalat,Spread
mag-ayos,Arrange
kampo,Camp
imbentuhin,Invent
koton,Koton
isinilang,Born
matukoy,determine
siyam,nine
trak,truck
ingay,Noise
antas,level
pagkakataon,opportunity
magtipon,Gather
banatin,Let's go
magtapon,Throw
kinang,Kinang
ari-arian,property
haligi,Column
Molekyul,Molecular
piliin,Select
mali,False
kulay-abo,Gray
paulit-ulit na,Repeatedly
nangangailangan ng,needs
malawak,Extensive
maghanda,Get ready
asin,salt
ilong,nose
pangmaramihang,plural
galit,angry
kontinente,continent
